date_dollar,value
1/1/2016,3.956
4/1/2016,4.033
5/1/2016,3.994
6/1/2016,4.017
7/1/2016,4.052
8/1/2016,4.038
11/1/2016,4.049
12/1/2016,4.044
13/1/2016,4.010
14/1/2016,3.998
15/1/2016,4.046
18/1/2016,4.032
19/1/2016,4.054
20/1/2016,4.103
21/1/2016,4.163
22/1/2016,4.109
25/1/2016,4.103
26/1/2016,4.069
27/1/2016,4.081
28/1/2016,4.079
29/1/2016,4.023
1/2/2016,3.955
2/2/2016,3.981
3/2/2016,3.918
4/2/2016,3.895
5/2/2016,3.909
8/2/2016,3.909
9/2/2016,3.909
10/2/2016,3.935
11/2/2016,3.985
12/2/2016,3.992
15/2/2016,3.997
16/2/2016,4.069
17/2/2016,3.994
18/2/2016,4.048
19/2/2016,4.023
22/2/2016,3.949
23/2/2016,3.960
24/2/2016,3.957
25/2/2016,3.949
26/2/2016,3.998
29/2/2016,4.004
1/3/2016,3.944
2/3/2016,3.889
3/3/2016,3.800
4/3/2016,3.759
7/3/2016,3.792
8/3/2016,3.736
9/3/2016,3.698
10/3/2016,3.642
11/3/2016,3.589
14/3/2016,3.651
15/3/2016,3.762
16/3/2016,3.739
17/3/2016,3.650
18/3/2016,3.579
21/3/2016,3.610
22/3/2016,3.598
23/3/2016,3.678
24/3/2016,3.679
25/3/2016,3.679
28/3/2016,3.625
29/3/2016,3.639
30/3/2016,3.620
31/3/2016,3.598
1/4/2016,3.561
4/4/2016,3.613
5/4/2016,3.683
6/4/2016,3.644
7/4/2016,3.692
8/4/2016,3.598
11/4/2016,3.494
12/4/2016,3.490
13/4/2016,3.476
14/4/2016,3.478
15/4/2016,3.525
18/4/2016,3.597
19/4/2016,3.527
20/4/2016,3.531
21/4/2016,3.531
22/4/2016,3.570
25/4/2016,3.547
26/4/2016,3.519
27/4/2016,3.526
28/4/2016,3.497
29/4/2016,3.439
2/5/2016,3.489
3/5/2016,3.569
4/5/2016,3.541
5/5/2016,3.540
6/5/2016,3.503
9/5/2016,3.523
10/5/2016,3.466
11/5/2016,3.445
12/5/2016,3.473
13/5/2016,3.523
16/5/2016,3.503
17/5/2016,3.488
18/5/2016,3.562
19/5/2016,3.568
20/5/2016,3.517
23/5/2016,3.579
24/5/2016,3.575
25/5/2016,3.596
26/5/2016,3.596
