date_euro,value
26/5/2016,4.005
25/5/2016,3.994
24/5/2016,3.979
23/5/2016,4.008
20/5/2016,3.951
19/5/2016,3.993
18/5/2016,4.002
17/5/2016,3.947
16/5/2016,3.961
13/5/2016,3.995
12/5/2016,3.965
11/5/2016,3.944
10/5/2016,3.953
9/5/2016,4.002
6/5/2016,3.994
5/5/2016,4.031
4/5/2016,4.074
3/5/2016,4.092
2/5/2016,4.039
29/4/2016,3.936
28/4/2016,3.959
27/4/2016,3.992
26/4/2016,3.988
25/4/2016,4.006
22/4/2016,4.004
21/4/2016,3.994
20/4/2016,3.987
19/4/2016,4.014
18/4/2016,4.090
15/4/2016,3.986
14/4/2016,3.925
13/4/2016,3.944
12/4/2016,3.972
11/4/2016,3.984
8/4/2016,4.092
7/4/2016,4.198
6/4/2016,4.150
5/4/2016,4.189
4/4/2016,4.128
1/4/2016,4.046
31/3/2016,4.089
30/3/2016,4.081
29/3/2016,4.108
28/3/2016,4.061
25/3/2016,4.113
24/3/2016,4.108
23/3/2016,4.121
22/3/2016,4.017
21/3/2016,4.066
18/3/2016,4.084
17/3/2016,4.105
16/3/2016,4.200
15/3/2016,4.183
14/3/2016,4.066
11/3/2016,3.998
10/3/2016,4.054
9/3/2016,4.059
8/3/2016,4.132
7/3/2016,4.166
4/3/2016,4.136
3/3/2016,4.163
2/3/2016,4.231
1/3/2016,4.268
29/2/2016,4.367
26/2/2016,4.366
25/2/2016,4.360
24/2/2016,4.360
23/2/2016,4.360
22/2/2016,4.353
19/2/2016,4.477
18/2/2016,4.474
17/2/2016,4.434
16/2/2016,4.538
15/2/2016,4.468
12/2/2016,4.507
11/2/2016,4.523
10/2/2016,4.435
9/2/2016,4.388
8/2/2016,4.361
5/2/2016,4.355
4/2/2016,4.359
3/2/2016,4.325
2/2/2016,4.356
1/2/2016,4.315
29/1/2016,4.333
28/1/2016,4.452
27/1/2016,4.474
26/1/2016,4.406
25/1/2016,4.437
22/1/2016,4.420
21/1/2016,4.520
20/1/2016,4.462
19/1/2016,4.431
18/1/2016,4.417
15/1/2016,4.419
14/1/2016,4.345
13/1/2016,4.368
12/1/2016,4.374
11/1/2016,4.402
8/1/2016,4.399
7/1/2016,4.423
6/1/2016,4.338
5/1/2016,4.307
4/1/2016,4.376
1/1/2016,4.301
